"","SiteID","Country","Obfuscation"
"1","APHP","FRANCE"," 3"
"2","FRBDX","FRANCE"," 3"
"3","UKER","GERMANY"," 5"
"4","UKFR","GERMANY"," 5"
"5","UMM","GERMANY"," 3"
"6","ASSTPAVIA","ITALY"," 0"
"7","HPG23","ITALY"," 5"
"8","ICSM1","ITALY"," 0"
"9","ICSM20","ITALY"," 0"
"10","ICSM5","ITALY"," 0"
"11","POLIMI","ITALY"," 5"
"12","NUH","SINGAPORE"," 0"
"13","H12O","SPAIN","10"
"14","BIDMC","USA","10"
"15","MGB","USA","10"
"16","MUSC","USA","15"
"17","UCLA","USA","10"
"18","UKY","USA"," 0"
"19","UMICH","USA","10"
"20","UNC","USA","10"
"21","UPenn","USA","10"
"22","UPITT","USA"," 0"
